pair,dealer,ev
"A,A",A,+0.238490
"A,A",2,+0.621751
"A,A",3,+0.669993
"A,A",4,+0.722587
"A,A",5,+0.780576
"A,A",6,+0.816853
"A,A",7,+0.628725
"A,A",8,+0.495113
"A,A",9,+0.362669
"A,A",T,+0.282769
"2,2",A,-0.520577
"2,2",2,-0.143634
"2,2",3,-0.085060
"2,2",4,-0.018316
"2,2",5,+0.087633
"2,2",6,+0.143334
"2,2",7,-0.048897
"2,2",8,-0.215907
"2,2",9,-0.400601
"2,2",T,-0.497079
"3,3",A,-0.561936
"3,3",2,-0.202089
"3,3",3,-0.130166
"3,3",4,-0.021419
"3,3",5,+0.069704
"3,3",6,+0.125356
"3,3",7,-0.108177
"3,3",8,-0.268122
"3,3",9,-0.440992
"3,3",T,-0.541655
"4,4",A,-0.635144
"4,4",2,-0.253631
"4,4",3,-0.157357
"4,4",4,-0.062227
"4,4",5,+0.027329
"4,4",6,+0.084934
"4,4",7,-0.237670
"4,4",8,-0.367301
"4,4",9,-0.523977
"4,4",T,-0.618246
"5,5",A,-0.764794
"5,5",2,-0.294093
"5,5",3,-0.212900
"5,5",4,-0.117985
"5,5",5,-0.019370
"5,5",6,+0.031015
"5,5",7,-0.340376
"5,5",8,-0.493892
"5,5",9,-0.661089
"5,5",T,-0.739458
"6,6",A,-0.718229
"6,6",2,-0.241383
"6,6",3,-0.160021
"6,6",4,-0.067527
"6,6",5,+0.020007
"6,6",6,+0.034540
"6,6",7,-0.294240
"6,6",8,-0.441190
"6,6",9,-0.606510
"6,6",T,-0.700881
"7,7",A,-0.715048
"7,7",2,-0.179065
"7,7",3,-0.100874
"7,7",4,-0.013825
"7,7",5,+0.035026
"7,7",6,+0.083407
"7,7",7,-0.105359
"7,7",8,-0.426892
"7,7",9,-0.582550
"7,7",T,-0.652793
"8,8",A,-0.500353
"8,8",2,+0.014773
"8,8",3,+0.081867
"8,8",4,+0.126300
"8,8",5,+0.205502
"8,8",6,+0.249112
"8,8",7,+0.259211
"8,8",8,-0.074476
"8,8",9,-0.416431
"8,8",T,-0.475384
"9,9",A,-0.223916
"9,9",2,+0.160902
"9,9",3,+0.190715
"9,9",4,+0.262237
"9,9",5,+0.340479
"9,9",6,+0.375888
"9,9",7,+0.334810
"9,9",8,+0.200892
"9,9",9,-0.099669
"9,9",T,-0.304020
"T,T",A,-0.374486
"T,T",2,+0.135006
"T,T",3,+0.213358
"T,T",4,+0.301073
"T,T",5,+0.395943
"T,T",6,+0.450778
"T,T",7,+0.335501
"T,T",8,+0.110220
"T,T",9,-0.152629
"T,T",T,-0.282568
